id,age,cog,program,age_c
1,1,117,1,0
1,1.5,113,1,0.5
1,2,109,1,1
2,1,108,1,0
2,1.5,112,1,0.5
2,2,102,1,1
3,1,112,1,0
3,1.5,113,1,0.5
3,2,85,1,1
4,1,138,1,0
4,1.5,110,1,0.5
4,2,97,1,1
5,1,106,1,0
5,1.5,107,1,0.5
5,2,99,1,1
6,1,111,1,0
6,1.5,98,1,0.5
6,2,92,1,1
7,1,124,1,0
7,1.5,108,1,0.5
7,2,94,1,1
8,1,94,1,0
8,1.5,93,1,0.5
8,2,74,1,1
9,1,124,1,0
9,1.5,111,1,0.5
9,2,117,1,1
10,1,109,1,0
10,1.5,93,1,0.5
10,2,78,1,1
11,1,131,1,0
11,1.5,121,1,0.5
11,2,110,1,1
12,1,134,1,0
12,1.5,114,1,0.5
12,2,113,1,1
13,1,135,1,0
13,1.5,116,1,0.5
13,2,99,1,1
14,1,119,1,0
14,1.5,112,1,0.5
14,2,95,1,1
15,1,127,1,0
15,1.5,98,1,0.5
15,2,100,1,1
16,1,99,1,0
16,1.5,109,1,0.5
16,2,112,1,1
17,1,121,1,0
17,1.5,108,1,0.5
17,2,113,1,1
18,1,115,1,0
18,1.5,116,1,0.5
18,2,90,1,1
19,1,88,1,0
19,1.5,90,1,0.5
19,2,78,1,1
20,1,124,1,0
20,1.5,113,1,0.5
20,2,92,1,1
21,1,126,1,0
21,1.5,121,1,0.5
21,2,106,1,1
22,1,128,1,0
22,1.5,126,1,0.5
22,2,102,1,1
23,1,113,1,0
23,1.5,117,1,0.5
23,2,89,1,1
24,1,135,1,0
24,1.5,122,1,0.5
24,2,116,1,1
25,1,129,1,0
25,1.5,114,1,0.5
25,2,105,1,1
26,1,130,1,0
26,1.5,126,1,0.5
26,2,110,1,1
27,1,93,1,0
27,1.5,94,1,0.5
27,2,104,1,1
28,1,100,1,0
28,1.5,103,1,0.5
28,2,101,1,1
29,1,123,1,0
29,1.5,108,1,0.5
29,2,102,1,1
30,1,120,1,0
30,1.5,121,1,0.5
30,2,99,1,1
31,1,98,1,0
31,1.5,90,1,0.5
31,2,87,1,1
32,1,114,1,0
32,1.5,95,1,0.5
