subj,session,block,trial,set_size,response,rt,correct,response_category
10,1,1,1,4,430,-1,1,correct
10,1,1,2,4,925,1.586,1,correct
10,1,1,3,2,533,1.399,1,correct
10,1,1,4,8,45,-1,0,new
10,1,1,5,6,477,2.301,1,correct
10,1,1,6,2,1105,2.424,1,correct
10,1,1,7,8,828,3.286,1,correct
10,1,1,8,6,193,3.213,1,correct
10,1,1,9,2,310,-1,1,correct
10,1,1,10,6,324,2.183,1,correct
10,1,1,11,4,985,1.897,1,correct
10,1,1,12,8,1076,4.244,1,correct
10,1,1,13,8,833,1.995,1,correct
10,1,1,14,8,317,6.445,0,intrusion
10,1,1,15,8,965,2.186,1,correct
10,1,1,16,8,634,4.348,1,correct
10,1,1,17,6,91,6.935,1,correct
10,1,1,18,8,286,8.323,0,intrusion
10,1,1,19,4,605,1.54,1,correct
10,1,1,20,2,194,1.025,1,correct
10,1,1,21,4,1182,1.497,1,correct
10,1,1,22,6,156,1.919,1,correct
10,1,1,23,6,539,-1,1,correct
10,1,1,24,6,209,2.488,1,correct
10,1,1,25,4,862,2.465,1,correct
10,1,1,26,8,876,5.92,0,intrusion
10,1,1,27,6,1068,3.658,0,intrusion
10,1,1,28,8,931,2.172,1,correct
10,1,2,1,8,1057,1.96,1,correct
10,1,2,2,8,947,1.957,1,correct
10,1,2,3,4,712,1.757,1,correct
10,1,2,4,6,676,2.042,1,correct
10,1,2,5,4,283,-1,1,correct
10,1,2,6,8,149,1.704,1,correct
10,1,2,7,8,1195,-1,0,intrusion
10,1,2,8,6,683,5.029,1,correct
10,1,2,9,8,340,2.251,1,correct
10,1,2,10,6,122,-1,1,correct
10,1,2,11,6,687,5.553,1,correct
10,1,2,12,8,357,3.363,1,correct
10,1,2,13,2,878,1.108,1,correct
10,1,2,14,6,339,1.332,1,correct
10,1,2,15,8,190,4.115,1,correct
10,1,2,16,6,1004,1.684,1,correct
10,1,2,17,2,598,1.173,1,correct
10,1,2,18,4,753,2.093,1,correct
10,1,2,19,2,970,-1,1,correct
10,1,2,20,4,147,1.688,1,correct
10,1,2,21,4,806,2.17,1,correct
10,1,2,22,2,824,1.514,1,correct
10,1,2,23,6,987,1.633,1,correct
10,1,2,24,8,1048,2.833,1,correct
10,1,2,25,8,583,2.661,1,correct
10,1,2,26,4,865,1.281,1,correct
10,1,2,27,6,81,1.064,1,correct
10,1,2,28,8,892,3.132,1,correct
10,1,3,1,4,296,2.014,1,correct
10,1,3,2,8,773,3.16,1,correct
10,1,3,3,2,254,1.738,1,correct
10,1,3,4,6,119,1.861,1,correct
10,1,3,5,4,602,3.325,1,correct
10,1,3,6,8,262,6.406,1,correct
10,1,3,7,4,293,4.208,1,correct
10,1,3,8,8,656,2.084,1,correct
10,1,3,9,2,898,-1,1,correct
10,1,3,10,6,549,2.053,1,correct
10,1,3,11,6,494,2.173,1,correct
10,1,3,12,8,648,3.051,1,correct
10,1,3,13,8,769,2.327,1,correct
